reviewId,content,score
1516bfa0-57b4-4820-b92a-9aceef9bbf1b,There is absolutely no help to retain ur handle when you have been hacked. Even after providing EVERY possible identification.,2
1353aafc-147c-4704-90c3-6340f4093c9f,😎😎,5
dae22c35-a7aa-4d83-91a4-9bb187f74c00,The best in money arig,5
e49e1faf-ada7-40a5-9cf4-ea6aa3762387,Best app for wasting time ☺,5
8432245b-137f-4de2-b687-beaca2d7945d,Very good,5
168fb0ed-0793-422d-9f0b-0f2550a0a139,Good,4
3849a74f-80b3-4b5e-a93b-8c80a4275a3c,Easy to use to communicate and share a snippet of your world,5
e3b78331-6600-464b-a6e3-4ce296cd3ddd,"So here's a good reason why this app use to be good but sucks severely now. I have a friend and we chat a LOT. Well, her profile doesn't show up for me at ALL unless we group text but I can't PM her and on her profile it says mine is disabled? Like what the heck??? I'm not disabled for anyone else but her. And if I get out of the app then everything is black and weird and I got to completely close out of it for it to work normally. The message thing is a MAJOR issue bc it's not fixable!!! Help!",3
b468b51e-902e-4618-9b0a-722b3e749c3d,I like it,5
3b89fce4-b9be-4755-9feb-8c8a5852d9db,I love it..🔥🤍,5
6d33db0f-a6a1-4df4-91ff-9d78ab288cb4,Nice,5
7d4d6fe5-0e2a-486c-b812-88c93c612dd9,Nice,5
4bdb9dd7-5d25-4f18-8b99-61ac529f73f5,Amazing app to share the feeling and post with our friends,5
76234f95-18cd-4cd4-9cf2-5bd8ded836f7,Good app 🤠❣️,5
6d3240df-c66e-4ff3-935b-4d7cba4211bd,Baljeet,5
5395ebed-ea03-4b1d-b37d-d9533e5d25cb,Instagram is so much fun and good thanks to Instagram 😍😊😊,5
c8612b27-3d36-4878-b88f-49d1bf7da6d5,Vv. Well,1
e575e32c-e86d-4290-b99e-9c8a823658fb,It's a wonderful tremendous app for the persons who think whe doesn't get privacy it's data can never be erased untill you want,5
002c4be9-4b9a-498d-9dac-ff3de679b954,Goof app,5
5d3515e0-8d0d-4eaf-9842-ab1631a91c1d,This,5
b8951b56-85f4-4ab1-9f37-9fb10a77ad5b,Best 👍 app in social media,5
8209dbed-4319-43e7-9616-5b1ee642655b,Not bad ...,4
feb4d168-aa89-4674-9863-a9daa3215ee0,Super,3
7ea361ae-e7b7-468e-ad14-c83d3fe2eb91,My fav,5
e623f6ac-c331-45d8-a8c2-c3361eb667d4,Nice app I love it,5
09e54ea9-fa30-484b-9a23-36c3fc4099d1,Nice,5
97f34d52-e55f-486a-8de6-76f1d568c0ab,I hete app mere Lief ko begad diya,5
b81c870b-2838-4ad2-ba68-c112e804c7a0,Waste less,1
dfbb0d7b-c7d9-44be-be5b-102cb5b06af5,Nice aap,4
c3e049a1-f9ae-4790-8f6f-ac63a70675c2,Good,5
752d5df4-73ee-4233-b72d-e10130e06588,"And once the storm is over, you won't remember how you made it through, how you managed to survive. ...",5
65922d44-c13b-4861-8ac1-073c0b5aabed,Nice 👍,5
11873189-beb3-489a-96c5-1095cba7ed20,It iz a Good aPp but we can't change music in our posts,4
4a8ac805-d892-476c-967b-7f6d9c5a9611,Good,5
7f8128c6-9113-46c9-b0aa-cef18c2d2a1e,ინსტა,5
a74e32a2-c49a-40b3-87d3-db4eb5f0140f,Good,5
56217ab9-d253-4603-be59-847db4e3491e,Use and through,5
08149668-6b38-420b-ab3b-342c8ac9ce3a,App is not working properly There are so many glitches fix it very fast,3
b059471a-f630-4301-8881-85997e4d08dd,Thank 🙏🙏🙏🙏,5
